Day,1,2,3,4,5,6,7,8,9,10
2024.11.13.(수),남자맨투맨,패딩조끼,경량패딩,심리스브라,트위드자켓,원피스,여성패딩,셀럽남자맨투맨,코트,패딩
2024.11.14.(목),남자맨투맨,패딩조끼,경량패딩,심리스브라,원피스,여성패딩,트위드자켓,맨투맨,코트,남자긴팔티
2024.11.15.(금),패딩조끼,남자맨투맨,경량패딩,원피스,여성패딩,코트,트위드자켓,패딩,코듀로이팬츠,숏패딩
2024.11.16.(토),패딩조끼,원피스,트레이닝바지,여성패딩,코트,경량패딩,숏패딩,니트원피스,무스탕,남성정장
2024.11.17.(일),여성패딩,패딩조끼,패딩,경량패딩,숏패딩,롱패딩,남자패딩,코트,여성롱패딩,캐시미어코트
2024.11.18.(월),여성패딩,패딩,롱패딩,숏패딩,여성롱패딩,남자패딩,경량패딩,패딩조끼,코트,여자롱패딩
2024.11.19.(화),여성패딩,패딩,숏패딩,롱패딩,남자패딩,여성롱패딩,경량패딩,패딩조끼,후드티,코트
2024.11.20.(수),여성패딩,숏패딩,패딩,패딩조끼,경량패딩,남자패딩,여성롱패딩,후드티,코트,롱패딩
2024.11.21.(목),여성패딩,패딩조끼,숏패딩,남자패딩,경량패딩,코트,패딩,여성롱패딩,몽클레어패딩,트레이닝바지
2024.11.22.(금),여성패딩,패딩조끼,몽클레어패딩,숏패딩,트레이닝바지,코트,남자패딩,여성롱패딩,패딩,남자맨투맨
2024.11.23.(토),여성패딩,온브레이크후리스재킷,몽클레어패딩,숏패딩,코트,패딩조끼,패딩,남자패딩,여성롱패딩,캐시미어코트
2024.11.24.(일),여성패딩,숏패딩,몽클레어패딩,코트,패딩조끼,온브레이크후리스재킷,여성롱패딩,남자패딩,패딩,캐시미어코트
